2026-05-28 04:31:55,091 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:31:55,091 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:31:55,091 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:31:55,093 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:31:55,093 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:31:55,146 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:31:55,146 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:31:55,146 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:31:55,146 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:31:55,147 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:31:55,149 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:31:55,149 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:31:55,149 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:31:55,149 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:31:55,149 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:31:55,150 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:31:55,154 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:31:55,154 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:31:55,167 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:31:55,167 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:31:55,168 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:31:55,168 | PipelineRunner | INFO | Data Augmentation completed
2026-05-28 04:31:55,168 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:31:55,170 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:31:55,170 | Pipelinebuilder | ERROR | Error during pipeline building: 'training'
2026-05-28 04:31:55,171 | PipelineRunner | ERROR | Error during pipeline execution: Pipeline building failed. Pipeline is None.
2026-05-28 04:31:55,171 | Main | ERROR | The Ml Build Pipeline has failed
2026-05-28 04:35:00,963 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:35:00,963 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:35:00,963 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:35:00,965 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:35:00,965 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:35:00,973 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:35:00,974 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:35:00,974 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:35:00,974 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:35:00,974 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:35:00,975 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:35:00,975 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:35:00,975 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:35:00,975 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:35:00,975 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:35:00,976 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:35:00,979 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:35:00,979 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:35:00,987 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:35:00,987 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:35:00,989 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:35:00,989 | PipelineRunner | INFO | Data Augmentation completed
2026-05-28 04:35:00,990 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:35:00,991 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:35:00,991 | Pipelinebuilder | INFO | Successfully loaded the parameters from the config file
2026-05-28 04:35:00,991 | Pipelinebuilder | INFO | Building the decision tree pipeline
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | Successfully built the decision tree pipeline
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | loading the parameter grid configuration for the grid search
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | Successfully loaded the parameter grid configuration
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | Setting up the GridSearchCV for the decision tree pipeline
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | Successfully set up the GridSearchCV for the decision tree pipeline
2026-05-28 04:35:00,992 | Pipelinebuilder | INFO | Successfully created the GridSearchCV for the decision tree pipeline
2026-05-28 04:35:00,992 | PipelineRunner | INFO | Pipeline build has been completed
2026-05-28 04:35:00,992 | PipelineRunner | INFO | Training the model and the pipeline with the data
2026-05-28 04:35:00,994 | Training | INFO | Training the model
2026-05-28 04:35:00,994 | Training | INFO | Fitting the data into the model
2026-05-28 04:35:03,983 | Training | INFO | Getting the best model
2026-05-28 04:35:03,984 | Training | INFO | Testing the best model
2026-05-28 04:35:03,985 | Training | INFO | Testing has been completed
2026-05-28 04:35:03,986 | Training | INFO | Retrieveing the path to save the model
2026-05-28 04:35:03,987 | Training | INFO | Model path exists and proceeding to save the model
2026-05-28 04:35:03,991 | Training | INFO | Model has been successfully saved
2026-05-28 04:35:03,991 | Training | INFO | Calculating the accuracy
2026-05-28 04:35:03,992 | Training | ERROR | Error during model training: 'Pipeline' object has no attribute 'accuracy_score'
2026-05-28 04:35:03,992 | PipelineRunner | ERROR | Error during pipeline execution: Model training failed.
2026-05-28 04:35:03,992 | Main | ERROR | The Ml Build Pipeline has failed
2026-05-28 04:35:42,365 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:35:42,365 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:35:42,365 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:35:42,366 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:35:42,366 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:35:42,372 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:35:42,372 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:35:42,372 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:35:42,372 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:35:42,372 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:35:42,373 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:35:42,373 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:35:42,373 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:35:42,373 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:35:42,373 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:35:42,374 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:35:42,376 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:35:42,376 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:35:42,385 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:35:42,385 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:35:42,386 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:35:42,386 | PipelineRunner | INFO | Data Augmentation completed
2026-05-28 04:35:42,386 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | Successfully loaded the parameters from the config file
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | Building the decision tree pipeline
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | Successfully built the decision tree pipeline
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | loading the parameter grid configuration for the grid search
2026-05-28 04:35:42,388 | Pipelinebuilder | INFO | Successfully loaded the parameter grid configuration
